"Status","NewId","TargetFile","SourceFile","Pattern","Description","Note"
"Preview","5","5.mp3","01 Rondeau (J. J. Mouret).mp3","*Rondeau*J. J. Mouret*.mp3","Mouret - Rondeau",""
"Preview","7","7.mp3","04 Messe h-Moll, BWV 232_ IV. Gloria _Gloria in excelsis_.mp3","*Messe h-Moll*Gloria*.mp3","Bach - h-Moll-Messe - Gloria",""
"Preview","32","32.mp3","09 Der Herbst_ _Hört, das laute Getön_.mp3","*Der Herbst*.mp3","Haydn - Die Jahreszeiten - Der Herbst",""
"Preview","35","35.mp3","04 Trumpet Concerto in E flat major_ 1. Allegro con spirito.mp3","*Trumpet Concerto in E flat major*.mp3","Hummel - Trompetenkonzert",""
"Preview","47","47.mp3","01 Missa solemnis, Op. 123_ I. Kyrie_ a. Kyrie eleison.mp3","*Missa solemnis*Kyrie*.mp3","Beethoven - Missa solemnis - Kyrie",""
"Preview","129","129.mp3","12 Ich werde jede Nacht von ihnen träumen.mp3","*Ich werde jede Nacht*.mp3","Millocker - Ich werde jede Nacht von ihnen traeumen",""
"Preview","135","135.mp3","09 Salut d'Amour, Op. 12.mp3","*Salut d'Amour*.mp3","Elgar - Salut d'Amour",""
"Preview","168","168.mp3","01 Children at Play.mp3","*Children at Play*.mp3","Bartok - Children at Play",""
"Preview","188","188.mp3","20 Wenn die Elisabeth nicht so schöne Beine hätt'.mp3","*Wenn die Elisabeth*.mp3","Katscher - Wenn die Elisabeth nicht so schoene Beine haett",""
"Preview","191","191.mp3","25 No. 20 The Clowns.mp3","*Clowns*.mp3","Kabalevsky - The Clowns",""
"Preview","193","193.mp3","17 Piano Sonatina_ I. Allegro giocoso.mp3","*Piano Sonatina*.mp3","Khachaturian - Piano Sonatina",""
"Preview","194","194.mp3","15 Waltz in A Minor.mp3","*Waltz in A Minor*.mp3","Chopin - Waltz in A Minor",""
"Preview","197","197.mp3","21 The Lord Bless You and Keep You.mp3","*The Lord Bless You and Keep You*.mp3","Rutter - The Lord Bless You and Keep You",""
