"Status","NewId","TargetFile","ChosenSourceFile","SourceCandidates","Stueck","Werk","Komponist","Note"
"Copied","1","1.mp3","classic_166.mp3","classic_166.mp3","Ave Maria","Ave Maria (PdPWV Mot007)","Giovanni Pierluigi da Palestrina",""
"Copied","2","2.mp3","classic_164.mp3","classic_164.mp3","2. Satz: Rondeau","Abdelazer Suite (Z 570)","Henry Purcell",""
"Copied","3","3.mp3","classic_165.mp3","classic_165.mp3","Trumpet Tune in C Major (ZT 697)","Trumpet Tune in C Major (ZT 697)","Henry Purcell",""
"Copied","4","4.mp3","classic_025.mp3","classic_025.mp3","Zadok the Priest","Zadok the Priest (HWV 258)","Georg Friedrich Händel",""
"MissingNoOldMapping","5","5.mp3","","","1. Satz: Rondeau","Première Suite de Symphonies/1. Suite von Sinfonien","Jean-Joseph Mouret","Dieses Stueck ist neu in der finalen JSON oder war in der alten Liste bewusst nicht enthalten."
"Copied","6","6.mp3","classic_161.mp3","classic_161.mp3","4. Satz: Zion hört die Wächter singen","Wachet auf, ruft uns die Stimme (BWV 140)","Johann Sebastian Bach",""
"MissingNoOldMapping","7","7.mp3","","","4. Satz: Gloria in excelsis","h-Moll-Messe (BWV 232)","Johann Sebastian Bach","Dieses Stueck ist neu in der finalen JSON oder war in der alten Liste bewusst nicht enthalten."
"Copied","8","8.mp3","classic_178.mp3","classic_178.mp3","1. Teil: Bereite dich, Zion","Weihnachtsoratorium (BWV 248)","Johann Sebastian Bach",""
"MissingSourceFile","9","9.mp3","","classic_015.mp3","Hallelujah!","Messiah/Der Messias (HWV 56)","Georg Friedrich Händel","Keine der erwarteten RawAlt-Dateien existiert."
"Copied","10","10.mp3","classic_019.mp3","classic_019.mp3","Einzug der Königin von Saba","Solomon/Salomo (HWV 67)","Georg Friedrich Händel",""
"Copied","11","11.mp3","classic_163.mp3","classic_163.mp3","Ouvertüre","Music for the Royal Fireworks/Feuerwerksmusik (HWV 351)","Georg Friedrich Händel",""
"Copied","12","12.mp3","classic_044.mp3","classic_044.mp3","Ach, ich habe sie verloren","Orfeo ed Euridice","Christoph Willibald Gluck",""
"Copied","13","13.mp3","classic_045.mp3","classic_045.mp3","1. Satz: Allegro moderato","1. Streichquartett/Sonnen-Quartett in Es-Dur (Hob.III:31)","Joseph Haydn",""
