"Status","NewId","TargetFile","ChosenSourceFile","SourceCandidates","Stueck","Werk","Komponist","Note"
"MissingNoOldMapping","5","5.mp3","","","1. Satz: Rondeau","Première Suite de Symphonies/1. Suite von Sinfonien","Jean-Joseph Mouret","Dieses Stueck ist neu in der finalen JSON oder war in der alten Liste bewusst nicht enthalten."
"MissingNoOldMapping","7","7.mp3","","","4. Satz: Gloria in excelsis","h-Moll-Messe (BWV 232)","Johann Sebastian Bach","Dieses Stueck ist neu in der finalen JSON oder war in der alten Liste bewusst nicht enthalten."
"MissingSourceFile","9","9.mp3","","classic_015.mp3","Hallelujah!","Messiah/Der Messias (HWV 56)","Georg Friedrich Händel","Keine der erwarteten RawAlt-Dateien existiert."
"MissingNoOldMapping","32","32.mp3","","","Der Herbst: ""Hört das laute Getön'""","Die Jahreszeiten (Hob. XXI:3)","Joseph Haydn","Dieses Stueck ist neu in der finalen JSON oder war in der alten Liste bewusst nicht enthalten."
"MissingNoOldMapping","35","35.mp3","","","1. Satz: Allegro con spirito","Konzert für Trompete und Orchester in E-Dur (WoO 1/S 49)","Johann Nepomuk Hummel","Dieses Stueck ist neu in der finalen JSON oder war in der alten Liste bewusst nicht enthalten."
"MissingSourceFile","42","42.mp3","","classic_066.mp3","Largo al factotum","Il barbiere di Siviglia/Der Barbier von Sevilla","Gioachino Rossini","Keine der erwarteten RawAlt-Dateien existiert."
"MissingNoOldMapping","47","47.mp3","","","1. Satz: Kyrie","Missa solemnis in D-Dur (Op. 123)","Ludwig van Beethoven","Dieses Stueck ist neu in der finalen JSON oder war in der alten Liste bewusst nicht enthalten."
"MissingSourceFile","49","49.mp3","","classic_070.mp3","5. Teil: Zum Sanctus (""Heilig, heilig, heilig! Heilig ist der Herr!"")","Deutsche Messe in Es-Dur (D 872)","Franz Schubert","Keine der erwarteten RawAlt-Dateien existiert."
"MissingSourceFile","74","74.mp3","","classic_029.mp3","Abschied vom Walde","6 Lieder (Op. 59)","Felix Mendelssohn Bartholdy","Keine der erwarteten RawAlt-Dateien existiert."
"MissingSourceFile","86","86.mp3","","classic_181.mp3","8. Stück: Wilder Reiter","Album für die Jugend (Op. 68)","Robert Schumann","Keine der erwarteten RawAlt-Dateien existiert."
"MissingNoOldMapping","129","129.mp3","","","Ich werde jede Nacht von ihnen träumen","Gasparone","Carl Millöcker","Dieses Stueck ist neu in der finalen JSON oder war in der alten Liste bewusst nicht enthalten."
"MissingSourceFile","130","130.mp3","","classic_123.mp3","Te Deum","Te Deum in C-Dur (WAB 45)","Anton Bruckner","Keine der erwarteten RawAlt-Dateien existiert."
"MissingNoOldMapping","135","135.mp3","","","Salut d'Amour (Op. 12)","Salut d'Amour (Op. 12)","Edward Elgar","Dieses Stueck ist neu in der finalen JSON oder war in der alten Liste bewusst nicht enthalten."
"MissingSourceFile","137","137.mp3","","classic_100.mp3","Ha ! Ha ! Après dix ans passés dans nos murailles","Les Troyens/Die Trojaner (Op. 29)","Hector Berlioz","Keine der erwarteten RawAlt-Dateien existiert."
"MissingNoOldMapping","168","168.mp3","","","1. Stück: Játszó gyermekek/Kinder im Spiel","Gyermekeknek/Für Kinder","Béla Bartók","Dieses Stueck ist neu in der finalen JSON oder war in der alten Liste bewusst nicht enthalten."
"MissingSourceFile","172","172.mp3","","classic_034.mp3","2. Teil: Alles Vergängliche ist nur ein Gleichnis","8. Sinfonie in Es-Dur (""Sinfonie der Tausend"")","Gustav Mahler","Keine der erwarteten RawAlt-Dateien existiert."
"MissingNoOldMapping","188","188.mp3","","","Wenn die Elisabeth nicht so schöne Beine hätt'","Die Wunder-Bar - Ein Spiel im Nachtleben","Robert Katscher","Dieses Stueck ist neu in der finalen JSON oder war in der alten Liste bewusst nicht enthalten."
"MissingNoOldMapping","191","191.mp3","","","20. Stück: Clowns","24 kleine Stücke (Op. 39)","Dmitri Kabalewski","Dieses Stueck ist neu in der finalen JSON oder war in der alten Liste bewusst nicht enthalten."
"MissingNoOldMapping","193","193.mp3","","","1. Satz: Allegro giocoso","Piano Sonatina","Aram Khachaturian","Dieses Stueck ist neu in der finalen JSON oder war in der alten Liste bewusst nicht enthalten."
"MissingNoOldMapping","194","194.mp3","","","Walzer in a-Moll (B. 150)","Walzer in a-Moll (B. 150)","Frédéric Chopin","Dieses Stueck ist neu in der finalen JSON oder war in der alten Liste bewusst nicht enthalten."
"MissingNoOldMapping","197","197.mp3","","","The Lord bless you and keep you","The Lord bless you and keep you ","John Rutter","Dieses Stueck ist neu in der finalen JSON oder war in der alten Liste bewusst nicht enthalten."
