"Status","TargetFile","SourceFile","SourcePath","TargetPath"
"Copied","classic_001.mp3","01 Symphony No. 5 in C Minor, Op. 67_ I. Allegro con brio.mp3","C:\Users\lac\OneDrive - IMS Messsysteme GmbH\Dokumente\NoteCable Spotify Music Converter\Joschijas Hitster Gang\01 Symphony No. 5 in C Minor, Op. 67_ I. Allegro con brio.mp3","C:\Code\JKH\ClassicHitster.App\Resources\Raw\classic_001.mp3"
"Copied","classic_002.mp3","04 Symphony No. 7 in E Major, WAB 107 (Ed. Haas)_ IV. Finale. Bewegt, doch nicht schnell.mp3","C:\Users\lac\OneDrive - IMS Messsysteme GmbH\Dokumente\NoteCable Spotify Music Converter\Joschijas Hitster Gang\04 Symphony No. 7 in E Major, WAB 107 (Ed. Haas)_ IV. Finale. Bewegt, doch nicht schnell.mp3","C:\Code\JKH\ClassicHitster.App\Resources\Raw\classic_002.mp3"
"Copied","classic_003.mp3","04 Symphony No. 9 in E Minor, Op. 95, B. 178 _From the New World__ IV. Allegro con fuoco.mp3","C:\Users\lac\OneDrive - IMS Messsysteme GmbH\Dokumente\NoteCable Spotify Music Converter\Joschijas Hitster Gang\04 Symphony No. 9 in E Minor, Op. 95, B. 178 _From the New World__ IV. Allegro con fuoco.mp3","C:\Code\JKH\ClassicHitster.App\Resources\Raw\classic_003.mp3"
"Copied","classic_004.mp3","15 Denn er hat seinen Engeln befohlen, MWV B 53 _Psalm 91_.mp3","C:\Users\lac\OneDrive - IMS Messsysteme GmbH\Dokumente\NoteCable Spotify Music Converter\Joschijas Hitster Gang\15 Denn er hat seinen Engeln befohlen, MWV B 53 _Psalm 91_.mp3","C:\Code\JKH\ClassicHitster.App\Resources\Raw\classic_004.mp3"
"Copied","classic_005.mp3","07 Abendlied, Op. 69 No. 3.mp3","C:\Users\lac\OneDrive - IMS Messsysteme GmbH\Dokumente\NoteCable Spotify Music Converter\Joschijas Hitster Gang\07 Abendlied, Op. 69 No. 3.mp3","C:\Code\JKH\ClassicHitster.App\Resources\Raw\classic_005.mp3"
"Copied","classic_006.mp3","06 Locus iste, WAB 23.mp3","C:\Users\lac\OneDrive - IMS Messsysteme GmbH\Dokumente\NoteCable Spotify Music Converter\Joschijas Hitster Gang\06 Locus iste, WAB 23.mp3","C:\Code\JKH\ClassicHitster.App\Resources\Raw\classic_006.mp3"
"Copied","classic_007.mp3","03 Die Walküre, WWV 86B - Concert version _ Dritter Aufzug_ The Ride of the Valkyries.mp3","C:\Users\lac\OneDrive - IMS Messsysteme GmbH\Dokumente\NoteCable Spotify Music Converter\Joschijas Hitster Gang\03 Die Walküre, WWV 86B - Concert version _ Dritter Aufzug_ The Ride of the Valkyries.mp3","C:\Code\JKH\ClassicHitster.App\Resources\Raw\classic_007.mp3"
"Copied","classic_008.mp3","28 Wagner_ Lohengrin, Act 3_ _Treulich geführt ziehet dahin_ (Chor).mp3","C:\Users\lac\OneDrive - IMS Messsysteme GmbH\Dokumente\NoteCable Spotify Music Converter\Joschijas Hitster Gang\28 Wagner_ Lohengrin, Act 3_ _Treulich geführt ziehet dahin_ (Chor).mp3","C:\Code\JKH\ClassicHitster.App\Resources\Raw\classic_008.mp3"
"Copied","classic_009.mp3","10 Midsummer Night's Dream, Op. 61_ No. 9, Wedding March.mp3","C:\Users\lac\OneDrive - IMS Messsysteme GmbH\Dokumente\NoteCable Spotify Music Converter\Joschijas Hitster Gang\10 Midsummer Night's Dream, Op. 61_ No. 9, Wedding March.mp3","C:\Code\JKH\ClassicHitster.App\Resources\Raw\classic_009.mp3"
"Copied","classic_010.mp3","12 Orpheus in the Underworld_ Can-Can - Live.mp3","C:\Users\lac\OneDrive - IMS Messsysteme GmbH\Dokumente\NoteCable Spotify Music Converter\Joschijas Hitster Gang\12 Orpheus in the Underworld_ Can-Can - Live.mp3","C:\Code\JKH\ClassicHitster.App\Resources\Raw\classic_010.mp3"
